"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"2023","燁輝","713,000","253","6,499,190","9.16","9.16","9.09","9.10","-","0.06","9.10","15","9.12","7","0.00",
"2024","志聯","702,000","248","8,465,350","11.70","12.25","11.65","12.25","+","0.45","12.05","2","12.25","25","47.12",
"2025","千興","58,000","15","128,260","2.22","2.22","2.17","2.22","-","0.01","2.22","1","2.24","16","0.00",
"2027","大成鋼","4,300,000","1,826","125,087,600","29.20","29.40","28.80","29.25","-","0.05","29.25","77","29.30","3","10.64",
"2028","威致","59,000","18","542,210","9.19","9.19","9.19","9.19","-","0.01","9.19","1","9.20","27","10.21",
"2029","盛餘","94,000","39","1,810,350","19.25","19.35","19.20","19.30","+","0.05","19.25","7","19.45","5","137.86",
"2030","彰源","358,000","163","4,276,500","12.00","12.05","11.90","12.00"," ","0.00","11.95","2","12.00","28","11.88",
"2031","新光鋼","510,000","233","14,496,650","28.45","28.60","28.20","28.35","-","0.05","28.35","1","28.45","7","0.00",
"2032","新鋼","114,000","37","1,034,040","9.13","9.13","9.04","9.06","-","0.07","9.06","7","9.08","4","28.31",
"2033","佳大","37,000","25","330,630","8.90","8.96","8.90","8.96","+","0.06","8.96","8","8.99","7","0.00",
"2034","允強","295,000","175","7,621,500","25.85","25.90","25.80","25.85"," ","0.00","25.80","112","25.85","5","14.13",
"2038","海光","171,000","49","1,226,970","7.14","7.19","7.14","7.18","+","0.04","7.17","3","7.18","23","0.00",
"2049","上銀","1,850,000","1,437","501,233,000","268.00","273.00","267.50","270.50","+","3.50","270.50","5","271.00","15","31.06",
"2059","川湖","218,000","193","76,435,000","351.50","354.00","348.50","348.50","-","1.50","348.50","4","350.00","6","19.23",
"2062","橋椿","28,000","20","771,500","27.55","27.65","27.50","27.55","+","0.05","27.50","1","27.55","2","61.22",
"2069","運錩","59,000","27","1,108,750","18.75","18.85","18.70","18.85","+","0.10","18.80","10","18.85","17","0.00",
"2101","南港","1,787,000","792","87,898,350","49.75","49.95","48.80","48.90","-","0.70","48.90","190","49.00","5","38.81",
"2102","泰豐","964,000","275","13,020,250","13.55","13.55","13.45","13.45","-","0.05","13.45","49","13.50","3","0.00",
"2103","台橡","3,277,000","2,241","78,808,450","24.05","24.30","24.00","24.05","+","0.05","24.05","29","24.10","3","19.88",
"2104","國際中橡","1,506,000","895","46,377,550","31.10","31.10","30.60","30.65","-","0.45","30.65","31","30.70","11","15.64",
"2105","正新","3,535,000","1,470","144,794,200","41.10","41.15","40.65","41.15","+","0.15","41.05","7","41.15","82","37.75",
"2106","建大","1,250,000","767","39,390,800","31.40","31.65","31.40","31.50","+","0.15","31.50","12","31.55","39","26.69",
"2107","厚生","400,000","136","7,532,700","18.85","18.90","18.80","18.85","+","0.05","18.80","27","18.90","163","13.96",
"2108","南帝","167,000","145","4,943,400","29.50","29.75","29.50","29.55","+","0.05","29.55","2","29.60","8","9.78",
"2109","華豐","142,000","46","1,565,150","11.00","11.10","10.90","11.05"," ","0.00","11.05","1","11.10","5","0.00",
"2114","鑫永銓","138,000","77","11,390,700","83.00","83.00","82.40","82.60","-","0.40","82.60","2","82.80","1","15.07",
"2115","六暉-KY","83,000","34","3,404,350","40.95","41.40","40.95","41.00","+","0.05","40.95","8","41.10","2","14.24",
"2201","裕隆","1,415,000","696","27,122,800","19.15","19.25","19.10","19.15","+","0.05","19.10","267","19.15","3","0.00",
"2204","中華","527,000","327","20,668,500","39.30","39.35","39.10","39.35","-","0.05","39.15","2","39.35","1","21.39",
"2206","三陽工業","535,000","213","11,332,750","21.25","21.30","21.10","21.25","+","0.10","21.20","22","21.25","23","10.57",
"2207","和泰車","147,000","128","89,997,000","612.00","614.00","608.00","613.00","+","1.00","613.00","3","614.00","25","29.86",
"2208","台船","337,000","208","8,956,600","26.65","26.75","26.50","26.50","-","0.10","26.50","40","26.55","3","0.00",
"2227","裕日車","107,000","104","29,516,000","278.50","278.50","275.00","277.00","-","1.50","276.50","6","277.00","2","12.59",
"2228","劍麟","1,540,000","1,310","163,032,500","109.50","109.50","104.50","105.00","-","3.00","105.00","7","105.50","10","13.87",
"2231","為升","219,000","183","52,692,500","241.00","242.00","239.50","240.00"," ","0.00","240.00","1","241.00","4","25.83",
"2233","宇隆","177,000","135","12,532,000","71.00","71.30","70.60","70.60","-","0.20","70.60","5","70.80","8","12.56",
"2236","百達-KY","27,000","18","626,750","23.40","23.40","23.10","23.20","-","0.05","23.15","9","23.20","1","9.55",
"2239","英利-KY","37,000","32","3,476,900","94.40","94.40","93.50","93.50","-","0.50","93.00","3","93.50","4","16.07",
"2243","宏旭-KY","733,000","418","10,138,350","13.85","14.00","13.30","13.80","+","1.05","13.75","1","13.80","6","0.00",
"2301","光寶科","4,258,000","2,078","212,141,050","49.55","50.00","49.55","49.90","+","0.75","49.85","21","49.90","1","12.23",
"2302","麗正","165,000","77","1,305,210","7.96","8.00","7.85","7.90"," ","0.00","7.86","8","7.90","13","65.83",
"2303","聯電","60,106,000","8,686","978,048,750","16.40","16.50","16.15","16.25","-","0.20","16.20","3,241","16.25","4,975","45.14",
"2305","全友","121,000","57","788,700","6.52","6.55","6.50","6.50","-","0.03","6.50","19","6.53","7","0.00",
"2308","台達電","3,141,000","1,537","446,092,500","141.50","142.50","141.00","142.50"," ","0.00","142.00","8","142.50","209","15.37",
"2312","金寶","10,887,000","1,887","135,219,050","12.20","12.55","12.15","12.45","+","0.20","12.40","116","12.45","399","22.64",
"2313","華通","13,213,000","6,180","631,352,500","48.30","48.35","47.55","47.70","-","0.60","47.70","105","47.75","17","20.21",
"2314","台揚","2,350,000","1,252","56,693,900","23.80","24.40","23.70","24.05","+","0.15","24.05","1","24.10","22","0.00",
"2316","楠梓電","1,853,000","1,105","69,057,250","36.85","37.80","36.85","37.10","+","0.35","37.10","46","37.15","3","12.16",
"2317","鴻海","31,885,000","12,684","2,901,409,200","90.50","91.30","90.40","91.30","+","1.00","91.20","9","91.30","376","9.72",
"2321","東訊","442,000","102","552,270","1.35","1.35","1.14","1.20","-","0.04","1.20","65","1.23","3","0.00",
"2323","中環","16,912,000","3,272","170,112,860","10.05","10.20","9.94","9.94","-","0.11","9.94","119","9.95","10","9.04",
"2324","仁寶","13,734,000","3,495","256,523,400","18.80","18.85","18.60","18.70","-","0.05","18.65","116","18.70","920","12.30",
"2327","國巨","12,890,000","9,073","4,844,076,500","369.50","379.50","369.00","378.50","+","10.50","378.50","33","379.00","164","15.61",
"2328","廣宇","2,074,000","1,053","50,373,900","24.65","24.65","24.15","24.20","-","0.25","24.20","22","24.25","23","10.30",
"2329","華泰","4,500,000","1,554","66,787,200","15.05","15.05","14.70","14.80","-","0.30","14.80","335","14.85","12","13.58",
"2330","台積電","31,085,000","10,541","9,844,727,500","314.00","319.00","313.00","319.00","+","5.50","318.50","2","319.00","2,148","25.12",
"2331","精英","396,000","213","5,175,100","12.90","13.15","12.90","13.10","+","0.20","13.05","7","13.10","155","262.00",
"2332","友訊","2,642,000","754","33,903,050","12.85","12.90","12.75","12.85"," ","0.00","12.80","49","12.85","65","0.00",
"2337","旺宏","178,518,000","56,261","6,721,150,200","36.00","38.85","35.85","38.70","+","2.85","38.65","46","38.70","178","13.87",
"2338","光罩","22,724,000","10,368","755,863,500","32.25","33.90","31.90","33.25","+","1.40","33.25","70","33.30","13","23.09",
"2340","光磊","2,717,000","980","71,194,150","26.25","26.40","26.05","26.25"," ","0.00","26.25","135","26.30","117","15.81",
"2342","茂矽","384,000","251","7,436,000","19.60","19.60","19.10","19.25","-","0.40","19.25","7","19.35","16","0.00",
"2344","華邦電","80,970,000","19,526","1,559,816,000","19.10","19.55","19.00","19.00","-","0.05","19.00","1,586","19.05","218","32.20",
"2345","智邦","4,429,000","2,655","727,101,500","165.00","166.00","163.00","165.50","+","1.00","165.00","40","165.50","169","19.70",
"2347","聯強","2,133,000","1,044","79,384,000","37.25","37.40","37.00","37.35","+","0.15","37.25","78","37.35","58","10.01",
"2348","海悅","94,000","72","5,125,100","54.40","54.80","54.20","54.50"," ","0.00","54.40","8","54.60","2","10.48",
"2349","錸德","9,194,000","2,469","66,720,510","7.13","7.35","7.12","7.23","+","0.13","7.22","76","7.23","3","0.00",
"2351","順德","181,000","154","11,259,500","62.30","62.50","62.00","62.00","-","0.10","62.00","17","62.30","1","17.61",
"2352","佳世達","5,720,000","1,823","121,984,750","21.35","21.50","21.20","21.20","-","0.20","21.20","56","21.25","118","10.50",
"2353","宏碁","9,390,000","2,897","169,515,100","18.00","18.15","17.95","18.05","+","0.25","18.00","545","18.05","42","19.20",
"2354","鴻準","5,091,000","2,862","349,565,900","67.90","69.00","67.70","68.80","+","0.90","68.70","11","68.80","52","10.73",
"2355","敬鵬","513,000","418","15,733,700","30.85","30.85","30.50","30.65"," ","0.00","30.65","12","30.70","12","19.04",
"2356","英業達","3,137,000","1,416","71,889,250","22.90","23.00","22.80","23.00","+","0.10","22.95","43","23.00","255","14.84",
"2357","華碩","1,190,000","741","275,041,500","233.50","233.50","230.00","231.50","-","2.00","231.00","12","231.50","13","25.75",
"2358","廷鑫","437,000","212","6,893,950","16.30","16.30","15.55","15.80","-","0.30","15.70","8","15.80","1","50.97",
"2359","所羅門","208,000","110","4,272,350","20.60","20.60","20.50","20.50"," ","0.00","20.45","37","20.55","11","8.99",
"2360","致茂","860,000","583","122,830,500","142.50","143.50","141.00","143.00","+","0.50","143.00","64","143.50","46","34.54",
"2362","藍天","2,694,000","1,496","104,063,650","38.20","39.30","38.20","38.40","+","0.60","38.40","18","38.55","4","18.46",
"2363","矽統","1,422,000","530","11,788,730","8.38","8.38","8.24","8.25","-","0.08","8.25","19","8.26","3","0.00",
"2364","倫飛","127,000","29","296,390","2.30","2.39","2.30","2.39","+","0.04","2.39","2","2.40","5","0.00",
"2365","昆盈","427,000","238","3,402,580","7.97","8.03","7.95","7.96","-","0.04","7.96","7","7.99","3","99.50",
"2367","燿華","13,094,000","6,439","422,533,950","32.60","32.65","32.10","32.20","-","0.30","32.20","26","32.25","96","12.01",
"2368","金像電","27,793,000","6,194","462,791,500","16.70","16.90","16.45","16.50","-","0.05","16.50","35","16.55","102","0.00",
"2369","菱生","1,216,000","378","11,089,710","9.02","9.23","9.02","9.18","+","0.16","9.18","1","9.19","4","0.00",
"2371","大同","7,909,000","2,355","165,327,100","21.10","21.20","20.65","20.90","-","0.15","20.85","207","20.90","8","0.00",
"2373","震旦行","31,000","31","2,799,600","90.30","90.40","90.20","90.20","-","0.10","90.20","1","90.30","1","14.29",
"2374","佳能","346,000","180","5,778,000","16.95","16.95","16.55","16.60","-","0.10","16.60","18","16.70","7","0.00",
"2375","凱美","1,206,000","740","49,829,550","41.25","41.55","41.15","41.15","+","0.05","41.10","51","41.15","11","34.87",
"2376","技嘉","2,268,000","1,390","115,596,000","50.80","51.10","50.80","50.80","-","0.10","50.80","70","50.90","1","19.10",
"2377","微星","1,792,000","1,145","153,465,200","85.60","86.10","84.70","85.50","+","0.20","85.40","1","85.50","8","14.59",
"2379","瑞昱","1,499,000","1,094","349,106,000","232.50","234.00","231.00","233.50","+","1.50","233.00","13","233.50","30","19.00",
"2380","虹光","376,000","142","1,569,550","4.29","4.31","4.11","4.13","-","0.16","4.13","13","4.18","3","0.00",
"2382","廣達","3,487,000","1,911","214,245,100","61.60","61.70","61.30","61.50"," ","0.00","61.40","59","61.50","835","15.22",
"2383","台光電","1,406,000","914","171,837,500","122.00","123.00","121.50","122.00","+","0.50","122.00","157","122.50","94","15.40",
"2385","群光","2,577,000","1,449","238,700,800","94.00","94.00","92.00","92.30","+","0.90","92.20","21","92.30","492","11.64",
"2387","精元","5,664,000","2,903","212,366,150","36.95","38.00","36.90","37.80","+","1.25","37.65","6","37.80","90","48.46",
"2388","威盛","1,152,000","692","37,699,250","32.05","33.20","32.05","32.95","+","0.90","32.85","9","32.95","1","329.50",
"2390","云辰","976,000","430","10,816,600","11.25","11.25","11.00","11.00","-","0.20","11.00","46","11.05","1","0.00",
"2392","正崴","8,391,000","4,498","376,137,250","44.60","45.30","44.10","45.25","+","0.45","45.20","66","45.25","13","9.73",
"2393","億光","2,018,000","1,096","69,758,850","34.50","34.75","34.20","34.70","+","0.20","34.65","11","34.70","11","20.78",
"2395","研華","356,000","290","105,799,500","297.00","299.00","294.00","298.00","+","2.00","297.50","1","298.00","1","28.63",
"2397","友通","35,000","27","2,905,800","83.00","83.20","82.70","82.90","+","0.30","82.90","1","83.20","7","14.78",
"2399","映泰","1,181,000","516","13,733,400","11.50","11.75","11.50","11.65","+","0.20","11.65","22","11.70","53","0.00",
"2401","凌陽","1,396,000","467","18,351,200","13.20","13.25","13.10","13.15","-","0.10","13.10","84","13.15","6","0.00",
"2402","毅嘉","641,000","248","10,704,650","16.75","16.90","16.60","16.70","-","0.15","16.70","9","16.75","25","20.37",
"2404","漢唐","9,275,000","6,261","1,687,464,500","187.50","189.00","177.50","178.50","-","3.00","178.50","79","179.00","22","12.28",
"2405","浩鑫","1,546,000","590","18,873,950","12.30","12.35","12.10","12.15","-","0.20","12.15","24","12.20","14","0.00",
"2406","國碩","1,540,000","522","18,498,900","12.10","12.20","11.90","11.95","+","0.05","11.90","100","11.95","16","0.00",
"2408","南亞科","18,845,000","8,703","1,436,510,700","75.50","77.30","75.40","75.60","+","0.50","75.60","82","75.70","7","14.00",
"2409","友達","136,669,000","20,509","1,273,393,400","9.41","9.45","9.21","9.29","-","0.09","9.29","207","9.30","65","0.00",
"2412","中華電","8,028,000","2,856","894,161,000","111.50","112.00","111.00","111.00","-","0.50","111.00","4,195","111.50","388","25.75",
"2413","環科","1,141,000","480","18,181,450","15.05","16.65","15.05","16.65","+","1.50","16.65","610","--","0","0.00",
"2414","精技","126,000","80","2,867,950","22.65","22.80","22.65","22.75","+","0.25","22.70","27","22.75","2","13.07",
"2415","錩新","32,000","24","607,050","18.85","19.05","18.85","18.95","+","0.10","18.95","12","19.05","5","31.58",
"2417","圓剛","262,000","70","2,701,800","10.35","10.35","10.25","10.25","-","0.10","10.25","37","10.30","10","146.43",
"2419","仲琦","1,621,000","502","33,052,850","20.40","20.50","20.25","20.35","-","0.15","20.35","76","20.40","5","18.67",
"2420","新巨","221,000","153","7,901,950","35.65","35.90","35.65","35.80","-","0.20","35.80","1","35.85","5","10.53",
"2421","建準","4,294,000","2,639","188,193,350","44.00","44.25","43.50","43.95","-","0.25","43.90","21","43.95","65","18.24",
"2423","固緯","133,000","69","3,589,850","26.95","27.15","26.90","27.15","+","0.15","27.00","8","27.10","3","11.96",
"2424","隴華","12,000","12","340,650","28.05","29.20","28.05","29.20","+","2.10","27.95","2","29.35","1","0.00",
"2425","承啟","144,000","90","4,306,250","30.00","30.00","29.75","29.80","+","0.05","29.80","6","29.85","13","22.24",
"2426","鼎元","681,000","296","9,687,500","14.30","14.35","14.15","14.20","-","0.20","14.15","40","14.20","23","118.33",
"2427","三商電","37,000","22","392,900","10.60","10.65","10.55","10.65","+","0.10","10.60","39","10.65","6","14.20",
"2428","興勤","855,000","612","80,460,300","94.50","94.70","93.40","94.10","+","1.30","94.10","2","94.20","2","11.38",
"2429","銘旺科","130,000","71","3,595,700","27.70","28.25","27.40","27.70","+","0.15","27.70","5","27.95","2","0.00",
"2430","燦坤","68,000","36","1,170,600","17.25","17.25","17.20","17.25"," ","0.00","17.25","2","17.30","6","17.42",
"2431","聯昌","2,858,000","607","33,960,800","11.60","12.10","11.50","11.80","+","0.05","11.70","18","11.80","9","0.00",
"2433","互盛電","83,000","65","4,569,900","54.90","55.20","54.90","55.10","+","0.20","55.00","14","55.10","6","13.06",
"2434","統懋","73,000","35","504,810","6.85","7.18","6.71","6.96","+","0.23","6.72","4","6.97","3","0.00",
"2436","偉詮電","2,610,000","1,241","69,967,200","26.90","27.00","26.55","26.60","-","0.10","26.60","72","26.70","1","26.34",
"2438","翔耀","152,000","69","1,002,920","6.30","6.82","6.30","6.82","+","0.62","6.82","100","--","0","0.00",
"2439","美律","3,115,000","2,056","491,722,000","157.00","159.00","156.50","158.50","+","2.00","158.00","16","158.50","118","9.91",
"2440","太空梭","23,000","16","220,990","9.97","9.97","9.30","9.44","+","0.08","9.44","1","9.77","1","0.00",
"2441","超豐","1,528,000","911","71,156,850","46.00","46.85","46.00","46.80","+","0.80","46.75","8","46.80","21","14.40",
"2442","新美齊","1,912,000","855","21,285,950","11.00","11.20","11.00","11.10","+","0.20","11.05","92","11.15","25","3.45",
"2443","新利虹","545,000","189","1,809,550","3.25","3.44","3.20","3.39","+","0.15","3.38","1","3.39","1","0.00",
"2444","兆勁","3,945,000","526","86,427,800","22.00","22.10","21.60","21.90","-","0.40","21.85","1","21.90","4","0.00",
"2448","晶電","15,070,000","6,613","504,897,600","33.55","33.85","33.35","33.45","-","0.25","33.45","47","33.50","68","0.00",
"2449","京元電子","8,350,000","4,220","318,405,000","38.60","38.65","37.90","38.05","-","0.35","38.05","13","38.10","27","18.93",
"2450","神腦","24,000","22","738,250","30.70","30.80","30.70","30.80"," ","0.00","30.75","27","30.85","2","18.33",
"2451","創見","1,339,000","1,090","101,309,300","75.20","76.00","74.50","76.00","+","0.80","75.90","2","76.00","120","19.00",
"2453","凌群","4,878,000","2,083","85,851,000","17.60","17.85","17.30","17.30","+","0.20","17.25","45","17.30","2","15.73",
"2454","聯發科","3,770,000","2,434","1,609,775,000","423.00","429.00","423.00","429.00","+","4.00","428.50","2","429.00","137","33.10",
"2455","全新","4,394,000","2,806","484,586,500","111.50","112.50","108.50","108.50","-","2.00","108.50","217","109.00","3","43.06",
"2456","奇力新","6,534,000","4,173","679,173,000","103.00","105.00","102.50","103.50","+","0.50","103.50","46","104.00","80","18.25",
"2457","飛宏","1,150,000","320","11,520,130","10.10","10.15","9.98","9.98","-","0.02","9.96","5","9.98","1","0.00",
"2458","義隆","1,345,000","1,009","120,371,900","89.30","90.20","89.00","89.00","-","0.30","89.00","46","89.10","6","13.26",
"2459","敦吉","264,000","175","11,080,700","41.70","42.10","41.35","42.10","+","0.70","42.05","3","42.10","18","10.69",
"2460","建通","66,000","20","658,200","9.97","10.00","9.95","9.95","-","0.02","9.95","14","9.99","12","0.00",
"2461","光群雷","405,000","205","8,155,450","20.25","20.25","20.05","20.05","-","0.15","20.05","17","20.10","14","52.76",
"2462","良得電","160,000","61","4,523,300","28.40","28.45","28.10","28.45","+","0.05","28.35","1","28.45","7","20.47",
"2464","盟立","310,000","228","12,146,350","39.30","39.30","39.10","39.10","-","0.25","39.10","28","39.15","1","8.95",
"2465","麗臺","96,000","50","1,073,700","11.30","11.30","11.10","11.20","-","0.10","11.15","7","11.25","15","0.00",
"2466","冠西電","66,000","42","2,159,350","32.70","32.80","32.60","32.80","+","0.05","32.65","3","32.80","3","182.22",
"2467","志聖","1,093,000","704","28,854,700","25.70","27.00","25.65","26.75","+","1.30","26.75","6","26.80","6","9.39",
"2468","華經","110,000","64","1,402,100","12.70","12.80","12.70","12.70","+","0.05","12.65","8","12.75","19","20.16",
"2471","資通","254,000","134","4,700,550","18.20","18.70","18.20","18.55","+","0.40","18.50","27","18.60","6","12.62",
"2472","立隆電","992,000","479","43,296,800","44.00","44.00","43.45","43.50","-","0.20","43.50","22","43.75","2","12.87",
"2474","可成","6,743,000","4,492","1,663,503,000","249.00","249.50","244.00","249.50"," ","0.00","249.00","40","249.50","34","13.04",
"2476","鉅祥","55,000","37","1,293,650","23.65","23.65","23.50","23.55","-","0.05","23.50","14","23.55","3","12.14",
"2477","美隆電","589,000","345","16,338,500","27.10","28.20","27.10","27.90","+","0.90","27.80","5","27.90","7","17.33",
"2478","大毅","5,108,000","2,782","247,786,150","47.95","48.95","47.95","48.40","+","0.40","48.40","3","48.45","6","11.50",
"2480","敦陽科","319,000","235","17,112,600","53.40","54.00","53.40","53.50","+","0.50","53.50","5","53.60","21","12.80",
"2481","強茂","827,000","595","21,349,850","25.70","25.95","25.70","25.85","+","0.20","25.85","4","25.90","24","15.86",
"2482","連宇","50,000","38","606,950","12.10","12.20","12.10","12.15","+","0.05","12.15","1","12.20","20","21.32",
"2483","百容","27,000","16","553,750","20.50","20.55","20.45","20.55","+","0.05","20.50","13","20.55","4","12.16",
"2484","希華","4,649,000","1,787","99,454,800","21.20","21.60","21.20","21.20","-","0.15","21.20","87","21.40","10","17.38",
"2485","兆赫","381,000","200","7,811,450","20.70","20.70","20.45","20.45","-","0.15","20.45","10","20.50","54","45.44",
"2486","一詮","190,000","72","1,549,910","8.19","8.20","8.13","8.17"," ","0.00","8.17","3","8.18","61","0.00",
"2488","漢平","734,000","505","24,405,700","33.75","33.75","33.00","33.15","-","0.80","33.15","7","33.20","15","9.01",
"2489","瑞軒","582,000","195","6,286,150","10.90","10.90","10.75","10.75","-","0.15","10.75","98","10.80","52","32.58",
"2491","吉祥全","70,000","27","642,910","9.29","9.30","9.08","9.08","-","0.29","9.08","4","9.19","1","0.00",
"2492","華新科","9,755,000","5,547","1,794,838,000","182.50","185.50","181.50","184.00","+","1.50","184.00","31","184.50","141","8.60",
"2493","揚博","66,000","49","1,817,050","27.45","27.60","27.45","27.60","+","0.15","27.60","6","27.65","1","10.82",
"2495","普安","329,000","158","4,527,450","13.80","13.90","13.70","13.70","-","0.10","13.70","15","13.80","6","12.57",
"2496","卓越","110,000","52","7,166,800","63.90","66.10","63.90","64.60","-","0.50","64.50","1","64.60","6","11.25",
"2497","怡利電","28,000","23","629,850","22.45","22.60","22.40","22.40","-","0.15","22.40","3","22.55","1","0.00",
"2498","宏達電","3,237,000","1,584","115,720,350","35.50","35.85","35.50","35.70","+","0.25","35.70","46","35.75","24","0.00",
"2499","東貝","1,247,000","414","8,543,920","6.92","6.92","6.82","6.84","-","0.09","6.84","3","6.85","3","0.00",
"2501","國建","477,000","175","9,883,700","20.75","20.85","20.60","20.75"," ","0.00","20.75","68","20.80","44","17.44",
"2504","國產","24,124,000","6,460","348,239,700","14.40","14.80","14.10","14.10","-","0.10","14.10","197","14.15","29","28.78",
"2505","國揚","4,678,000","1,394","83,057,550","18.00","18.25","17.40","17.75","-","0.25","17.65","9","17.75","20","118.33",
"2506","太設","105,000","25","1,177,750","11.20","11.25","11.20","11.25","+","0.05","11.20","13","11.25","2","18.75",
"2509","全坤建","123,000","18","2,865,650","23.30","23.35","23.20","23.30","+","0.05","23.25","1","23.30","6","3.38",
"2511","太子","502,000","186","5,603,250","11.15","11.20","11.10","11.15"," ","0.00","11.15","76","11.20","192","13.60",
"2515","中工","3,855,000","748","30,389,010","7.89","7.93","7.86","7.86"," ","0.00","7.86","212","7.88","22","60.46",
"2516","新建","41,000","9","246,870","6.00","6.03","6.00","6.02","-","0.01","6.01","18","6.03","22","30.10",
"2520","冠德","7,612,000","2,997","244,359,000","32.65","32.65","31.60","31.65","-","1.70","31.65","95","31.70","9","10.24",
"2524","京城","107,000","75","3,301,850","30.80","31.10","30.70","30.85","+","0.05","30.85","6","30.90","1","9.70",
"2527","宏璟","88,000","61","2,014,800","22.95","23.10","22.75","22.90","-","0.15","22.80","21","22.90","9","6.26",
"2528","皇普","28,000","23","557,000","19.85","20.00","19.80","20.00"," ","0.00","19.85","2","19.95","1","0.00",
"2530","華建","45,000","28","714,150","15.80","15.95","15.80","15.90","+","0.10","15.90","4","15.95","5","0.00",
"2535","達欣工","497,000","176","10,444,000","21.05","21.05","20.95","21.00","-","0.05","21.00","51","21.05","113","10.61",
"2536","宏普","1,401,000","487","33,749,750","23.95","24.40","23.90","24.35","+","0.45","24.30","30","24.35","3","14.24",
"2537","聯上發","1,449,000","545","12,591,470","8.47","8.84","8.47","8.77","+","0.30","8.77","3","8.78","3","0.00",
"2538","基泰","1,399,000","468","17,932,300","12.60","13.00","12.60","12.65","+","0.05","12.65","45","12.70","1","115.00",
"2539","櫻花建","38,000","14","1,104,500","29.10","29.10","29.05","29.10","-","0.20","29.10","9","29.20","3","16.44",
"2540","愛山林","14,000","3","322,000","23.00","23.00","23.00","23.00","X","0.00","22.80","10","23.35","1","46.94",
"2542","興富發","2,003,000","1,199","92,272,700","46.10","46.15","46.00","46.05"," ","0.00","46.05","43","46.10","1","12.45",
"2543","皇昌","13,000","6","96,040","7.50","7.50","7.35","7.35","+","0.04","7.35","2","7.46","1","0.00",
"2545","皇翔","833,000","496","31,928,450","39.30","39.30","37.80","38.30","-","1.00","38.30","1","38.35","4","30.40",
"2546","根基","41,000","35","1,523,800","37.15","37.25","37.10","37.15","+","0.10","37.10","6","37.15","1","8.70",
"2547","日勝生","1,085,000","404","12,464,750","11.50","11.55","11.45","11.50","-","0.10","11.45","493","11.50","212","164.29",
"2548","華固","1,282,000","886","121,736,200","95.00","95.10","94.80","95.00","-","0.20","94.90","5","95.00","46","7.84",
"2597","潤弘","154,000","100","9,283,900","59.50","61.00","59.50","60.20","+","0.80","60.10","5","60.30","1","13.84",
"2601","益航","2,566,000","678","28,793,500","11.20","11.35","11.10","11.10","-","0.05","11.10","50","11.20","112","5.75",
"2603","長榮","6,453,000","2,289","78,855,650","12.25","12.30","12.20","12.20","-","0.05","12.20","362","12.25","1,453","53.04",
"2605","新興","926,000","426","15,256,250","16.45","16.65","16.40","16.40","+","0.05","16.40","100","16.45","5","0.00",
"2606","裕民","808,000","481","27,090,850","33.75","33.75","33.30","33.45","-","0.30","33.45","1","33.50","8","23.72",
"2607","榮運","453,000","184","6,386,850","14.05","14.15","14.05","14.10"," ","0.00","14.10","13","14.15","36","18.31",
"2608","嘉里大榮","335,000","196","12,940,100","38.75","38.75","38.45","38.55","-","0.20","38.50","34","38.55","43","13.25",
"2609","陽明","641,000","232","4,680,800","7.30","7.34","7.26","7.28","-","0.02","7.28","6","7.30","32","0.00",
"2610","華航","5,934,000","1,912","53,485,450","9.03","9.05","9.00","9.01","-","0.04","9.00","2,296","9.02","56","300.33",
"2611","志信","28,000","15","203,710","7.26","7.29","7.26","7.27","-","0.03","7.27","2","7.29","4","14.84",
"2612","中航","168,000","124","5,012,900","30.05","30.05","29.70","29.75","-","0.25","29.75","19","29.80","3","13.58",
"2613","中櫃","205,000","101","2,958,500","14.50","14.50","14.35","14.40","-","0.10","14.35","25","14.40","10","110.77",
"2614","東森","1,072,000","456","11,244,300","10.45","10.55","10.40","10.50","+","0.10","10.50","88","10.55","64","0.00",
"2615","萬海","1,027,000","394","18,870,400","18.45","18.45","18.30","18.35","-","0.05","18.35","28","18.40","28","15.29",
"2616","山隆","177,000","78","5,279,650","29.80","29.85","29.75","29.80","+","0.05","29.75","12","29.80","17","14.68",
"2617","台航","235,000","123","4,191,200","17.90","17.90","17.80","17.85","-","0.05","17.85","3","17.90","24","12.14",
"2618","長榮航","14,954,000","2,890","206,081,450","13.75","13.90","13.75","13.75","-","0.10","13.75","3,165","13.80","175","17.63",
"2630","亞航","12,000","9","218,150","18.20","18.20","18.10","18.10","-","0.10","18.10","5","18.20","4","26.23",
"2633","台灣高鐵","2,049,000","927","73,176,200","35.60","35.90","35.60","35.90","+","0.25","35.85","6","35.90","128","24.76",
"2634","漢翔","1,351,000","713","42,041,150","31.15","31.25","31.05","31.15","-","0.10","31.15","40","31.20","1","15.12",
"2636","台驊投控","167,000","102","4,006,950","24.10","24.15","23.90","24.00","-","0.15","24.00","6","24.10","11","9.84",
"2637","慧洋-KY","680,000","387","20,248,500","29.90","29.90","29.70","29.75","-","0.10","29.75","32","29.80","43","7.91",
"2642","宅配通","278,000","169","8,275,600","29.65","30.00","29.55","30.00","+","0.35","29.95","4","30.00","47","19.48",
"2701","萬企","33,000","14","440,200","13.35","13.35","13.30","13.30","-","0.05","13.30","16","13.35","22","14.30",
"2702","華園","66,000","42","1,270,050","19.25","19.30","19.20","19.30","+","0.10","19.25","8","19.30","32","28.38",
