"108年12月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
="020004","兆豐電菁英30N","0","0","0","--","--","--","--"," ","0.00","22.09","499","22.10","449","0.00",
="020005","永豐外資50N","0","0","0","--","--","--","--"," ","0.00","21.79","299","21.81","299","0.00",
="020006","永昌中小300N","0","0","0","--","--","--","--"," ","0.00","21.29","305","21.30","303","0.00",
="020007","凱基臺灣500N","0","0","0","--","--","--","--"," ","0.00","21.61","205","21.64","261","0.00",
="020008","元大特股高息N","32,000","14","336,260","10.51","10.52","10.50","10.51"," ","0.00","10.51","400","10.52","400","0.00",
="020011","統一微波高息20N","52,000","6","259,800","5.00","5.00","4.99","5.00"," ","0.00","5.00","388","5.01","388","0.00",
"1101","台泥","10,115,000","3,829","420,494,950","41.85","41.85","41.35","41.75","-","0.10","41.70","75","41.75","11","10.28",
"1101B","台泥乙特","6,000","5","321,500","53.40","53.70","53.40","53.70"," ","0.00","53.50","32","53.70","12","0.00",
"1102","亞泥","6,287,000","3,183","288,369,400","46.00","46.20","45.60","46.10","+","0.10","46.05","4","46.10","8","10.15",
"1103","嘉泥","1,258,000","653","25,114,100","20.15","20.15","19.85","20.00","-","0.10","19.95","6","20.00","59","9.90",
"1104","環泥","261,000","159","4,878,550","18.70","18.75","18.65","18.70"," ","0.00","18.70","13","18.80","53","12.22",
"1108","幸福","12,000","8","90,950","7.58","7.61","7.56","7.61","+","0.01","7.59","2","7.61","5","0.00",
"1109","信大","222,000","152","4,111,300","18.70","18.70","18.40","18.60","-","0.15","18.55","10","18.60","19","6.50",
"1110","東泥","32,000","10","542,650","17.00","17.00","16.85","17.00"," ","0.00","16.80","12","17.00","23","850.00",
"1201","味全","1,219,000","559","29,813,950","24.35","24.75","24.25","24.45"," ","0.00","24.45","38","24.50","7","9.86",
"1203","味王","37,000","12","995,450","26.95","26.95","26.85","26.85","-","0.10","26.85","7","26.95","1","14.59",
"1210","大成","7,420,000","4,068","308,522,300","40.65","42.05","40.65","41.45","+","0.80","41.40","3","41.45","14","14.29",
"1213","大飲","37,000","18","226,320","6.04","6.30","6.04","6.10","+","0.06","6.08","10","6.10","5","0.00",
"1215","卜蜂","1,088,000","796","72,068,100","65.60","66.60","65.20","66.30","+","0.70","66.30","2","66.40","77","14.17",
"1216","統一","6,710,000","3,369","484,681,700","72.40","72.50","72.10","72.20","-","0.30","72.10","52","72.20","158","21.81",
"1217","愛之味","1,232,000","285","8,623,780","7.01","7.03","6.97","6.99","+","0.02","6.99","1","7.01","1","43.69",
"1218","泰山","466,000","217","10,504,650","22.70","22.90","22.35","22.45","-","0.35","22.45","1","22.50","18","20.04",
"1219","福壽","36,000","21","637,550","17.90","17.90","17.65","17.75","-","0.15","17.70","9","17.75","2","65.74",
"1220","台榮","27,000","11","283,050","10.50","10.55","10.45","10.55","+","0.05","10.50","1","10.55","19","18.84",
"1225","福懋油","59,000","46","2,086,100","35.35","35.60","35.20","35.40","-","0.20","35.40","1","35.65","1","23.76",
"1227","佳格","661,000","515","44,332,500","67.80","67.80","66.70","66.90","-","0.90","66.90","9","67.00","37","18.90",
"1229","聯華","715,000","494","25,226,550","35.20","35.35","35.20","35.35","-","0.05","35.35","4","35.40","58","13.60",
"1231","聯華食","150,000","97","6,099,850","40.60","40.75","40.50","40.70","+","0.20","40.70","5","40.75","29","14.75",
"1232","大統益","27,000","19","3,347,500","124.50","124.50","123.50","124.00"," ","0.00","123.50","10","124.00","4","19.38",
"1233","天仁","5,000","5","192,050","38.50","38.50","38.35","38.35","+","0.05","38.30","2","38.40","1","22.04",
"1234","黑松","19,000","11","614,000","32.25","32.40","32.25","32.40","+","0.20","32.35","3","32.40","1","16.12",
"1235","興泰","145,000","98","3,170,450","21.85","22.05","21.65","21.75","-","0.10","21.70","16","21.75","1","362.50",
"1236","宏亞","3,000","3","38,400","12.80","12.80","12.80","12.80","+","0.10","12.65","2","12.75","3","80.00",
"1256","鮮活果汁-KY","72,000","69","15,184,500","213.00","213.00","210.00","211.00","-","2.00","211.00","2","212.00","3","13.72",
"1301","台塑","4,002,000","2,413","387,757,200","97.50","97.50","96.30","97.50"," ","0.00","97.30","45","97.50","66","17.02",
"1303","南亞","2,596,000","1,227","185,930,600","71.40","71.80","71.30","71.80","+","0.20","71.70","1","71.80","25","24.51",
"1304","台聚","596,000","188","8,089,250","13.60","13.60","13.55","13.60","-","0.05","13.55","1","13.60","5","16.19",
"1305","華夏","917,000","609","18,687,150","20.65","20.65","20.30","20.35","-","0.30","20.35","40","20.40","8","20.77",
"1307","三芳","33,000","25","788,850","23.85","23.95","23.85","23.90"," ","0.00","23.85","14","23.90","28","23.20",
"1308","亞聚","891,000","366","13,663,650","15.50","15.50","15.25","15.35","-","0.15","15.35","16","15.40","22","14.90",
"1309","台達化","1,205,000","364","12,678,350","10.70","10.70","10.45","10.50","-","0.20","10.50","52","10.55","3","25.00",
"1310","台苯","2,118,000","1,015","44,034,100","20.95","20.95","20.65","20.80","-","0.15","20.75","18","20.80","36","12.16",
"1312","國喬","1,327,000","580","23,970,600","18.05","18.15","18.00","18.05","-","0.05","18.05","214","18.10","5","8.32",
"1312A","國喬特","0","0","0","--","--","--","--"," ","0.00","34.00","3","34.35","1","0.00",
"1313","聯成","609,000","311","6,512,250","10.65","10.75","10.60","10.75","+","0.10","10.70","50","10.75","93","0.00",
"1314","中石化","6,674,000","1,859","64,104,110","9.66","9.66","9.58","9.60","-","0.06","9.59","248","9.60","36","18.82",
"1315","達新","1,136,000","784","53,602,500","44.05","48.50","44.05","47.80","+","3.50","47.70","1","47.80","1","13.02",
"1316","上曜","565,000","259","7,769,500","13.70","13.85","13.70","13.75","+","0.05","13.70","55","13.75","5","0.00",
"1319","東陽","1,228,000","902","54,846,100","44.60","45.15","44.25","44.65"," ","0.00","44.60","1","44.65","9","13.45",
"1321","大洋","235,000","130","8,331,100","35.55","35.55","35.35","35.45","-","0.35","35.45","10","35.50","3","236.33",
"1323","永裕","37,000","28","1,260,300","34.40","34.40","33.90","34.00","+","0.10","33.90","1","34.00","80","10.40",
"1324","地球","25,000","16","242,540","9.71","9.74","9.65","9.69","X","0.00","9.69","3","9.79","1","0.00",
"1325","恆大","5,000","5","77,900","15.50","15.60","15.50","15.60","+","0.10","15.45","7","15.60","11","31.20",
"1326","台化","2,931,000","1,780","254,983,000","87.00","87.40","86.80","87.10","+","0.10","87.00","22","87.10","3","17.67",
"1337","再生-KY","273,000","100","1,606,140","5.83","5.91","5.83","5.90","+","0.04","5.88","2","5.90","19","0.00",
"1338","廣華-KY","135,000","100","8,511,400","63.50","63.50","62.80","63.30","-","0.20","63.10","1","63.30","7","14.07",
"1339","昭輝","196,000","143","8,851,550","45.50","45.50","45.10","45.10","-","0.45","45.05","9","45.10","1","9.20",
"1340","勝悅-KY","101,000","60","1,556,650","15.30","15.55","15.30","15.40","+","0.05","15.35","16","15.45","11","0.00",
"1341","富林-KY","4,000","4","244,100","61.10","61.10","60.90","61.10"," ","0.00","59.30","1","61.00","1","11.21",
"1402","遠東新","6,319,000","3,362","184,983,950","29.50","29.50","29.20","29.25","-","0.30","29.25","139","29.30","128","16.25",
"1409","新纖","681,000","287","7,969,850","11.65","11.80","11.65","11.80","+","0.10","11.75","3","11.80","132","9.44",
"1410","南染","60,000","26","1,836,500","30.50","31.00","30.35","30.80","+","0.25","30.40","1","30.80","2","24.64",
"1413","宏洲","49,000","15","477,360","9.76","9.80","9.71","9.72","-","0.08","9.77","5","9.78","2","8.76",
"1414","東和","134,000","38","947,040","7.03","7.10","7.03","7.06","+","0.01","7.06","20","7.11","11","0.00",
"1416","廣豐","22,000","13","295,800","13.45","13.50","13.40","13.50","+","0.05","13.45","2","13.50","13","15.52",
"1417","嘉裕","828,000","173","8,295,080","9.97","10.10","9.97","10.05","+","0.07","10.00","46","10.05","8","0.00",
"1418","東華","24,000","8","143,820","5.72","6.05","5.72","6.05"," ","0.00","5.84","2","6.26","2","0.00",
"1419","新紡","1,000","1","41,800","41.80","41.80","41.80","41.80","X","0.00","41.75","2","42.55","2","33.98",
"1423","利華","44,000","22","455,450","10.35","10.40","10.35","10.35","-","0.05","10.35","8","10.40","32","0.00",
"1432","大魯閣","29,000","14","197,020","6.74","6.82","6.74","6.82","+","0.08","6.68","8","6.82","2","0.00",
"1434","福懋","2,290,000","1,200","76,805,250","33.80","33.80","33.30","33.55","-","0.25","33.55","10","33.60","31","16.53",
"1435","中福","593,000","141","4,068,560","6.84","6.94","6.75","6.86","+","0.03","6.86","43","6.88","5","343.00",
"1436","華友聯","6,000","3","217,300","36.05","36.25","36.05","36.25"," ","0.00","36.15","1","36.20","2","22.80",
"1437","勤益控","119,000","76","2,988,200","24.95","25.30","24.95","25.10","+","0.15","25.00","4","25.10","12","5.95",
"1438","裕豐","28,000","15","364,000","12.50","13.40","12.50","13.20","-","0.10","13.00","5","13.30","7","0.00",
"1439","中和","137,000","91","4,083,350","29.65","30.00","29.60","29.60","-","0.05","29.60","4","29.80","8","3.05",
"1440","南紡","914,000","280","9,537,200","10.45","10.45","10.40","10.45"," ","0.00","10.40","757","10.45","73","0.00",
"1441","大東","43,000","25","334,920","7.80","7.80","7.78","7.79","-","0.01","7.78","9","7.79","6","0.00",
"1442","名軒","224,000","120","4,177,200","18.65","18.75","18.55","18.70"," ","0.00","18.65","14","18.70","29","71.92",
"1443","立益","54,000","9","531,850","9.98","9.98","9.70","9.89","+","0.01","9.72","20","9.82","1","0.00",
"1444","力麗","499,000","241","4,685,020","9.34","9.43","9.33","9.42","+","0.04","9.41","39","9.42","6","26.91",
"1445","大宇","1,000","1","6,990","6.99","6.99","6.99","6.99"," ","0.00","6.95","5","6.98","5","0.00",
"1446","宏和","175,000","130","6,021,700","34.75","34.75","34.05","34.20","-","0.45","34.20","7","34.25","4","0.00",
"1447","力鵬","586,000","207","4,104,630","6.97","7.03","6.94","7.02","+","0.05","7.02","11","7.03","13","0.00",
"1449","佳和","2,324,000","798","22,244,240","9.50","10.00","9.45","9.98","-","0.52","9.98","2","9.99","14","0.00",
"1451","年興","85,000","50","1,828,350","21.60","21.60","21.45","21.55","+","0.05","21.45","10","21.60","13","39.91",
"1452","宏益","46,000","30","837,400","18.15","18.25","18.10","18.25","+","0.05","18.15","23","18.25","89","14.37",
"1453","大將","59,000","9","475,040","8.07","8.07","8.05","8.06","-","0.10","8.06","1","8.12","2","0.00",
"1454","台富","41,000","22","323,400","7.83","8.10","7.83","7.84","-","0.03","7.84","2","7.88","10","32.67",
"1455","集盛","720,000","225","5,622,990","7.88","7.88","7.80","7.80","-","0.08","7.80","74","7.82","6","0.00",
"1456","怡華","641,000","275","7,591,900","12.30","12.30","11.65","11.90","-","0.50","11.90","15","12.00","1","37.19",
"1457","宜進","230,000","87","3,211,350","14.00","14.00","13.90","14.00"," ","0.00","13.95","10","14.00","76","9.72",
"1459","聯發","76,000","18","519,520","6.80","6.85","6.80","6.85","+","0.01","6.85","7","6.86","6","0.00",
"1460","宏遠","1,258,000","525","11,345,360","9.14","9.14","8.99","9.07","-","0.07","9.07","104","9.08","7","0.00",
"1463","強盛","69,000","45","907,700","13.15","13.20","13.10","13.15"," ","0.00","13.10","15","13.15","12","15.29",
"1464","得力","626,000","352","16,381,900","26.25","26.30","26.00","26.30"," ","0.00","26.30","1","26.35","25","21.56",
"1465","偉全","14,000","5","203,500","14.50","14.60","14.50","14.60","+","0.10","14.55","3","14.65","7","4.10",
"1466","聚隆","27,000","18","205,590","7.63","7.66","7.59","7.66","X","0.00","7.59","7","7.65","2","0.00",
"1467","南緯","40,000","16","337,780","8.46","8.47","8.40","8.40","-","0.04","8.40","5","8.41","1","40.00",
"1468","昶和","11,000","10","109,760","9.91","10.05","9.90","10.05"," ","0.00","9.91","2","10.05","9","37.22",
"1470","大統新創","0","0","0","--","--","--","--"," ","0.00","19.95","1","20.50","1","22.07",
"1471","首利","124,000","62","264,470","2.11","2.16","2.11","2.13","+","0.01","2.12","25","2.13","11","0.00",
"1472","三洋紡","46,000","26","1,339,800","29.50","29.50","29.00","29.00","-","0.75","29.00","6","29.25","1","17.06",
"1473","台南","70,000","59","1,599,650","23.10","23.10","22.80","22.85","-","0.05","22.85","6","22.90","3","18.13",
"1474","弘裕","12,000","9","114,080","9.57","9.57","9.49","9.54","-","0.03","9.45","4","9.55","6","39.75",
"1475","本盟","1,000","1","4,470","4.47","4.47","4.47","4.47","-","0.25","4.49","2","4.79","1","0.00",
"1476","儒鴻","425,000","351","166,415,500","394.50","394.50","390.00","391.50","-","0.50","391.00","4","391.50","4","24.38",
"1477","聚陽","2,220,000","1,638","342,242,000","152.00","155.50","151.50","154.50","+","2.50","154.00","16","154.50","7","18.09",
"1503","士電","44,000","35","1,953,500","44.55","44.55","44.30","44.55","+","0.05","44.35","1","44.55","3","14.85",
"1504","東元","3,600,000","1,331","97,488,450","26.90","27.15","26.90","27.15","+","0.15","27.10","12","27.15","111","16.16",
"1506","正道","32,000","12","467,550","14.50","14.70","14.50","14.60","-","0.10","14.50","5","14.60","13","0.00",
"1507","永大","132,000","23","8,260,800","62.60","62.80","62.00","62.80"," ","0.00","62.70","1","62.80","1","31.40",
"1512","瑞利","94,000","28","361,900","3.90","3.90","3.80","3.85","+","0.05","3.85","14","3.90","3","0.00",
"1513","中興電","1,409,000","314","30,057,150","21.25","21.50","21.20","21.25"," ","0.00","21.25","47","21.30","10","14.36",
"1514","亞力","515,000","149","8,819,450","17.15","17.20","17.05","17.15","-","0.10","17.15","21","17.20","29","11.91",
"1515","力山","383,000","308","28,700,500","74.70","75.50","74.40","74.80","-","0.20","74.80","4","75.00","3","10.16",
"1516","川飛","14,000","14","212,850","15.25","15.30","15.10","15.30","+","0.05","15.25","10","15.30","1","72.86",
"1517","利奇","28,000","19","252,720","9.04","9.05","9.01","9.05"," ","0.00","9.03","1","9.05","25","452.50",
"1519","華城","362,000","210","10,080,050","28.40","28.40","27.60","27.80","-","0.45","27.80","1","27.85","10","19.17",
"1521","大億","12,000","7","768,000","64.00","64.00","64.00","64.00"," ","0.00","64.00","14","64.20","1","12.77",
"1522","堤維西","721,000","295","21,343,700","29.65","29.70","29.50","29.55","-","0.15","29.55","4","29.60","10","13.08",
"1524","耿鼎","64,000","30","634,740","9.92","9.96","9.90","9.95","-","0.01","9.92","1","9.95","1","10.59",
"1525","江申","9,000","9","486,800","54.20","54.20","54.00","54.00","-","0.20","54.00","5","54.60","1","11.18",
"1526","日馳","774,000","583","19,504,550","24.50","25.60","24.35","25.15","+","1.05","25.15","1","25.20","4","15.92",
"1527","鑽全","198,000","140","9,879,550","49.90","50.20","49.75","49.85","-","0.10","49.80","43","49.95","4","7.46",
"1528","恩德","185,000","71","1,635,530","8.88","8.88","8.78","8.87"," ","0.00","8.87","5","8.88","11","0.00",
"1529","樂士","37,000","12","619,650","16.30","16.95","16.30","16.40","+","0.10","16.30","12","16.35","9","63.08",
"1530","亞崴","15,000","10","432,950","28.90","28.90","28.65","28.80"," ","0.00","28.75","3","28.90","2","11.80",
"1531","高林股","31,000","13","467,650","15.10","15.15","15.05","15.05","-","0.10","15.05","27","15.10","1","32.72",
"1532","勤美","172,000","73","5,325,800","30.95","31.10","30.90","31.10","+","0.15","30.95","3","31.10","2","13.46",
"1533","車王電","76,000","53","2,751,300","36.30","36.35","36.00","36.20","-","0.25","36.15","1","36.20","2","14.37",
"1535","中宇","40,000","21","1,342,900","33.70","33.70","33.45","33.70"," ","0.00","33.65","1","33.70","3","33.04",
"1536","和大","221,000","154","24,701,500","112.50","112.50","111.50","112.00","-","0.50","111.50","18","112.00","69","34.67",
"1537","廣隆","53,000","36","7,737,000","145.00","146.50","145.00","146.50"," ","0.00","146.00","1","146.50","16","12.43",
"1538","正峰新","225,000","46","996,870","4.20","4.62","4.20","4.58","+","0.38","4.58","4","4.59","5","0.00",
"1539","巨庭","16,000","11","316,850","19.80","19.85","19.80","19.80","+","0.05","19.75","11","19.90","5","4.02",
"1540","喬福","63,000","38","1,222,100","19.50","19.50","19.35","19.40"," ","0.00","19.35","8","19.40","3","9.11",
"1541","錩泰","149,000","86","5,707,250","38.15","38.70","38.00","38.20"," ","0.00","38.10","2","38.25","2","17.69",
"1558","伸興","25,000","23","3,336,000","133.50","134.00","133.00","133.00","-","0.50","133.00","40","134.00","6","11.30",
"1560","中砂","400,000","300","27,217,200","68.30","68.30","67.70","68.30","-","0.40","68.20","1","68.30","4","16.58",
"1568","倉佑","137,000","111","2,618,450","19.10","19.40","18.70","18.70"," ","0.00","18.70","3","19.00","1","77.92",
"1582","信錦","243,000","179","21,120,200","87.20","87.20","86.50","87.20","+","0.20","87.00","9","87.20","26","11.50",
"1583","程泰","5,000","5","274,000","54.80","54.80","54.80","54.80"," ","0.00","54.80","3","54.90","1","14.16",
"1587","吉茂","21,000","12","325,450","15.50","15.55","15.45","15.50"," ","0.00","15.45","6","15.50","5","23.13",
"1589","永冠-KY","449,000","323","28,239,700","63.40","63.40","62.50","62.80","-","1.00","62.70","22","62.80","2","0.00",
"1590","亞德客-KY","1,484,000","1,289","648,389,000","453.50","453.50","428.50","428.50","-","29.50","428.50","19","430.00","38","31.42",
"1592","英瑞-KY","602,000","300","10,728,200","17.55","18.00","17.55","18.00","+","0.50","17.65","2","18.00","42","0.00",
"1598","岱宇","145,000","97","5,774,100","39.85","40.05","39.55","40.00","X","0.00","40.00","2","40.10","1","17.32",
"1603","華電","29,000","15","836,050","29.00","29.00","28.65","29.00"," ","0.00","28.70","3","29.00","7","28.16",
"1604","聲寶","367,000","141","7,389,100","20.05","20.20","20.05","20.20"," ","0.00","20.15","2","20.20","7","10.10",
"1605","華新","5,751,000","1,451","81,726,350","14.10","14.30","14.05","14.30","+","0.10","14.25","71","14.30","44","13.75",
"1608","華榮","82,000","48","798,240","9.74","9.75","9.72","9.73","-","0.02","9.73","14","9.75","20","42.30",
"1609","大亞","1,428,000","509","14,974,300","10.55","10.55","10.40","10.50","-","0.05","10.45","47","10.50","48","15.91",
"1611","中電","439,000","178","4,636,150","10.60","10.60","10.50","10.55","-","0.15","10.55","20","10.60","12","26.38",
"1612","宏泰","266,000","83","2,832,950","10.60","10.70","10.60","10.65"," ","0.00","10.65","21","10.70","20","22.19",
"1614","三洋電","85,000","43","2,577,300","30.00","30.60","30.00","30.25","+","0.25","30.25","4","30.40","7","39.29",
"1615","大山","26,000","10","437,200","16.85","16.85","16.80","16.85","+","0.05","16.80","13","16.85","5","9.91",
"1616","億泰","85,000","13","382,180","4.49","4.51","4.49","4.50"," ","0.00","4.49","11","4.50","3","0.00",
"1617","榮星","31,000","20","375,050","12.20","12.20","12.05","12.20"," ","0.00","12.15","1","12.20","17","14.52",
"1618","合機","95,000","30","818,890","8.61","8.69","8.60","8.61","-","0.07","8.61","35","8.66","1","0.00",
"1626","艾美特-KY","625,000","295","18,762,050","30.40","30.90","29.15","29.75","-","0.75","29.30","20","29.75","2","8.93",
"1701","中化","243,000","121","4,593,400","18.95","19.00","18.80","18.95"," ","0.00","18.90","4","18.95","10","15.66",
"1702","南僑","76,000","49","3,811,100","50.10","50.20","50.10","50.20","+","0.10","50.10","2","50.30","6","12.97",
"1707","葡萄王","139,000","124","26,651,000","191.00","192.50","190.50","192.00","+","1.00","191.50","1","192.00","8","20.27",
"1708","東鹼","53,000","29","1,278,300","24.10","24.20","24.10","24.15","+","0.05","24.15","4","24.20","5","20.12",
"1709","和益","176,000","84","2,282,250","13.05","13.05","12.85","13.00","-","0.05","12.95","19","13.00","5","50.00",
"1710","東聯","967,000","687","20,174,800","20.95","20.95","20.80","20.95"," ","0.00","20.90","3","20.95","147","95.23",
"1711","永光","326,000","138","5,071,750","15.60","15.65","15.50","15.55","-","0.05","15.55","4","15.60","7","22.54",
"1712","興農","443,000","158","8,275,650","18.70","18.75","18.65","18.70"," ","0.00","18.70","5","18.75","140","12.14",
"1713","國化","34,000","18","608,100","17.85","17.90","17.85","17.90"," ","0.00","17.85","5","17.90","6","33.77",
"1714","和桐","483,000","207","3,252,460","6.75","6.75","6.71","6.74","-","0.01","6.74","7","6.75","3","29.30",
"1717","長興","320,000","131","8,347,600","26.05","26.20","26.00","26.20","+","0.15","26.05","17","26.25","36","15.32",
"1718","中纖","1,398,000","400","11,161,470","8.00","8.02","7.96","7.98","-","0.06","7.98","9","7.99","29","0.00",
"1720","生達","160,000","110","5,421,500","34.10","34.10","33.75","33.85","-","0.10","33.85","12","33.90","2","16.20",
"1721","三晃","35,000","11","306,380","8.75","8.76","8.71","8.76"," ","0.00","8.71","2","8.76","9","175.20",
"1722","台肥","1,425,000","827","68,952,450","48.20","48.65","48.15","48.50","+","0.30","48.45","1","48.50","6","21.75",
"1723","中碳","105,000","93","12,884,000","123.00","123.00","122.50","123.00"," ","0.00","122.50","32","123.00","53","19.04",
"1724","台硝","22,000","14","280,500","12.75","12.80","12.70","12.80","+","0.05","12.75","2","12.85","5","15.80",
"1725","元禎","33,000","8","491,650","14.85","14.95","14.85","14.90","-","0.05","14.90","1","15.00","1","13.30",
"1726","永記","37,000","20","2,577,100","69.70","69.70","69.50","69.60","-","0.10","69.50","5","69.70","3","18.71",
"1727","中華化","9,000","7","106,450","11.80","11.90","11.80","11.85","+","0.05","11.80","20","11.85","5","31.18",
"1730","花仙子","76,000","67","5,412,800","71.70","71.70","71.10","71.20","-","0.50","71.20","1","71.40","1","11.43",
"1731","美吾華","149,000","69","1,967,550","13.30","13.30","13.15","13.15","-","0.15","13.15","32","13.20","8","19.63",
"1732","毛寶","2,000","2","21,050","10.50","10.55","10.50","10.55"," ","0.00","10.55","1","10.60","4","20.69",
"1733","五鼎","148,000","100","4,073,300","27.50","27.70","27.45","27.50","-","0.15","27.50","17","27.55","15","0.00",
"1734","杏輝","75,000","43","1,427,450","19.10","19.10","18.95","19.00"," ","0.00","18.95","48","19.00","18","0.00",
"1735","日勝化","6,000","2","103,950","17.30","17.45","17.30","17.45","+","0.15","17.20","9","17.40","1","17.11",
"1736","喬山","1,317,000","964","116,981,700","88.80","89.60","88.30","88.90","-","0.90","88.90","27","89.00","5","23.83",
"1737","臺鹽","527,000","224","17,164,200","32.40","32.80","32.05","32.65"," ","0.00","32.65","17","32.70","2","19.43",
"1760","寶齡富錦","122,000","106","10,717,500","87.90","88.30","87.50","88.20"," ","0.00","88.20","7","88.30","1","34.45",
"1762","中化生","288,000","199","10,170,750","35.65","35.65","35.10","35.10","-","0.55","35.10","24","35.15","1","35.82",
"1773","勝一","74,000","62","6,675,400","90.00","90.70","89.60","90.10","+","0.10","90.00","17","90.10","3","15.70",
"1776","展宇","18,000","14","269,200","14.90","15.10","14.80","15.00","+","0.30","14.95","1","15.00","2","31.91",
"1783","和康生","554,000","224","13,592,150","24.20","24.70","24.20","24.45","+","0.35","24.45","3","24.50","3","28.43",
"1786","科妍","336,000","266","24,765,600","74.00","74.20","73.40","73.70","+","0.20","73.70","33","73.80","3","38.19",
"1789","神隆","1,230,000","805","34,191,450","27.60","28.15","27.40","27.80","+","0.05","27.75","25","27.85","11","84.24",
"1802","台玻","458,000","245","5,274,400","11.60","11.60","11.45","11.55"," ","0.00","11.50","14","11.55","43","0.00",
"1805","寶徠","0","0","0","--","--","--","--"," ","0.00","8.70","1","8.85","5","0.00",
"1806","冠軍","52,000","26","338,980","6.53","6.54","6.50","6.54"," ","0.00","6.53","2","6.54","17","0.00",
"1808","潤隆","174,000","135","10,121,200","58.50","58.50","57.90","58.30","-","0.20","58.20","1","58.30","2","971.67",
"1809","中釉","1,469,000","649","17,940,150","12.30","12.45","12.00","12.00","+","0.10","12.00","55","12.15","11","0.00",
"1810","和成","136,000","52","1,102,610","8.15","8.15","8.08","8.10","-","0.04","8.09","10","8.10","5","0.00",
"1817","凱撒衛","23,000","10","805,500","35.10","35.10","34.95","35.00","-","0.10","34.95","2","35.00","1","12.50",
"1902","台紙","87,000","48","1,667,700","19.20","19.40","19.05","19.30","-","0.05","19.30","8","19.35","1","27.57",
"1903","士紙","37,000","12","1,163,350","31.35","31.65","31.30","31.65"," ","0.00","31.45","5","31.65","10","0.00",
"1904","正隆","853,000","428","15,935,900","18.75","18.75","18.65","18.75"," ","0.00","18.70","2","18.75","17","11.03",
"1905","華紙","307,000","118","2,746,610","8.94","8.99","8.92","8.98","+","0.04","8.95","9","8.98","7","149.67",
"1906","寶隆","65,000","36","841,250","13.00","13.05","12.90","13.00","-","0.05","13.00","8","13.05","4","9.56",
"1907","永豐餘","1,564,000","622","20,112,250","12.90","12.95","12.80","12.90"," ","0.00","12.85","7","12.90","128","11.03",
"1909","榮成","1,902,000","795","24,737,100","13.10","13.10","12.95","13.00"," ","0.00","13.00","154","13.05","87","0.00",
"2002","中鋼","8,494,000","2,456","199,823,750","23.50","23.60","23.40","23.60","+","0.05","23.55","63","23.60","457","23.60",
"2002A","中鋼特","18,000","17","960,100","53.10","53.50","53.10","53.50","+","0.10","53.40","3","53.50","4","0.00",
"2006","東和鋼鐵","935,000","460","21,198,250","22.70","22.75","22.60","22.70"," ","0.00","22.65","65","22.70","4","19.08",
"2007","燁興","75,000","37","310,400","4.17","4.18","4.10","4.17","-","0.02","4.17","2","4.18","26","0.00",
"2008","高興昌","0","0","0","--","--","--","--"," ","0.00","12.35","50","12.45","1","0.00",
"2009","第一銅","171,000","67","1,569,670","9.26","9.26","9.11","9.13","+","0.08","9.11","3","9.13","1","0.00",
"2010","春源","227,000","75","2,303,600","10.20","10.20","10.10","10.15","-","0.05","10.15","19","10.20","121","39.04",
"2012","春雨","12,000","6","235,550","19.65","19.65","19.60","19.60","-","0.20","19.60","7","19.70","6","10.65",
"2013","中鋼構","83,000","44","2,020,850","24.20","24.50","24.20","24.35"," ","0.00","24.35","1","24.50","7","44.27",
"2014","中鴻","3,544,000","970","34,342,500","9.72","9.85","9.59","9.81","+","0.10","9.75","39","9.81","1","14.22",
"2015","豐興","446,000","235","23,958,700","53.70","54.10","53.50","54.10","+","0.30","54.10","4","54.20","12","13.66",
"2017","官田鋼","240,000","69","1,605,030","6.70","6.70","6.66","6.70"," ","0.00","6.68","3","6.70","1","0.00",
"2020","美亞","70,000","33","1,069,400","15.25","15.35","15.25","15.25","-","0.10","15.25","11","15.30","5","9.59",
"2022","聚亨","338,000","105","1,706,490","5.07","5.07","5.02","5.06","-","0.02","5.05","20","5.06","11","0.00",
"2023","燁輝","333,000","158","3,077,350","9.24","9.28","9.20","9.28","+","0.04","9.27","17","9.28","56","0.00",
"2024","志聯","39,000","11","431,650","11.10","11.10","11.05","11.10","+","0.05","11.05","24","11.10","9","42.69",
"2025","千興","268,000","52","595,440","2.38","2.38","2.20","2.20","-","0.10","2.19","1","2.20","96","0.00",
"2027","大成鋼","7,552,000","3,314","223,335,600","29.90","29.90","29.05","29.75","-","0.15","29.70","19","29.75","1","10.82",
"2028","威致","71,000","24","652,040","9.18","9.20","9.17","9.19","-","0.01","9.19","13","9.20","5","10.21",
"2029","盛餘","10,000","5","198,450","19.95","19.95","19.70","19.70","+","0.05","19.65","3","19.75","7","140.71",
"2030","彰源","98,000","62","1,186,900","12.15","12.20","12.05","12.15","-","0.05","12.10","14","12.15","9","12.03",
"2031","新光鋼","241,000","149","6,719,150","28.05","28.05","27.80","27.85","-","0.15","27.85","2","28.00","18","0.00",
"2032","新鋼","6,000","4","54,890","9.14","9.18","9.14","9.15","-","0.05","9.15","1","9.17","5","28.59",
"2033","佳大","87,000","50","782,250","9.11","9.11","8.91","9.06","+","0.05","8.98","1","9.06","2","0.00",
"2034","允強","209,000","118","5,411,800","25.85","26.00","25.85","26.00","+","0.15","25.95","4","26.00","49","14.21",
